uniprot	swissprot	drug_name	act_value	act_type	action_type	source_name	reference	smiles	ChEMBL_Id
P02753	RET4_HUMAN	retinol	6.74	Kd		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL986	C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C	CHEMBL986
P04278	SHBG_HUMAN	estriol	6.63	Kd		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL193482	[H][C@@]12C[C@@H](O)[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3	CHEMBL193482
P04278	SHBG_HUMAN	testosterone	9.2	Kd		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL386630	[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C	CHEMBL386630
P04278	SHBG_HUMAN	prasterone	7.84	Kd		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL90593	[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C	CHEMBL90593
P42785	PCP_HUMAN	caramiphen	7.59	Ki		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL61946	CCN(CC)CCOC(=O)C1(CCCC1)C1=CC=CC=C1	CHEMBL61946
P16152	CBR1_HUMAN	triclosan	7.22	Ki		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL849	OC1=C(OC2=CC=C(Cl)C=C2Cl)C=CC(Cl)=C1	CHEMBL849
P04278	SHBG_HUMAN	androstanolone	9.74	Kd		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL27769	[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])CC(=O)CC[C@]12C	CHEMBL27769
P04278	SHBG_HUMAN	androstenediol	9.17	Kd		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL440283	[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C	CHEMBL440283
P24046	GBRR1_HUMAN	lindane	7.04	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL15891	Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl	CHEMBL15891
Q14534	ERG1_HUMAN	terbinafine	7.52	Ki		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL822	CN(C\C=C\C#CC(C)(C)C)CC1=C2C=CC=CC2=CC=C1	CHEMBL822
Q86VL8	S47A2_HUMAN	ondansetron	6.8	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL46	CN1C2=C(C3=CC=CC=C13)C(=O)C(CN1C=CN=C1C)CC2	CHEMBL46
Q96FL8	S47A1_HUMAN	ondansetron	7.52	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL46	CN1C2=C(C3=CC=CC=C13)C(=O)C(CN1C=CN=C1C)CC2	CHEMBL46
O95264	5HT3B_HUMAN	ondansetron	8.3	Ki		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL46	CN1C2=C(C3=CC=CC=C13)C(=O)C(CN1C=CN=C1C)CC2	CHEMBL46
P42330	AK1C3_HUMAN	meclofenamic acid	6.27	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL509	CC1=CC=C(Cl)C(NC2=CC=CC=C2C(O)=O)=C1Cl	CHEMBL509
P10145	IL8_HUMAN	diclofenac	8.1	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL139	OC(=O)CC1=C(NC2=C(Cl)C=CC=C2Cl)C=CC=C1	CHEMBL139
P25024	CXCR1_HUMAN	diclofenac	7.92	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL139	OC(=O)CC1=C(NC2=C(Cl)C=CC=C2Cl)C=CC=C1	CHEMBL139
P04278	SHBG_HUMAN	ethinylestradiol	6.81	Kd		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL691	[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3	CHEMBL691
O95264	5HT3B_HUMAN	palonosetron	9.74	Kd		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1720	[H][C@@]12CCCC3=CC=CC(C(=O)N(C1)[C@]1([H])CN4CCC1CC4)=C23	CHEMBL1720
P04278	SHBG_HUMAN	norethisterone	7.97	Kd		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1162	[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H]	CHEMBL1162
Q9NPH5	NOX4_HUMAN	quercetin	6.17	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL50	OC1=CC(O)=C2C(OC(=C(O)C2=O)C2=CC(O)=C(O)C=C2)=C1	CHEMBL50
Q16678	CP1B1_HUMAN	quercetin	7.11	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL50	OC1=CC(O)=C2C(OC(=C(O)C2=O)C2=CC(O)=C(O)C=C2)=C1	CHEMBL50
P18054	LOX12_HUMAN	quercetin	6.36	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL50	OC1=CC(O)=C2C(OC(=C(O)C2=O)C2=CC(O)=C(O)C=C2)=C1	CHEMBL50
P11309	PIM1_HUMAN	quercetin	7.6	Kd		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL50	OC1=CC(O)=C2C(OC(=C(O)C2=O)C2=CC(O)=C(O)C=C2)=C1	CHEMBL50
Q16678	CP1B1_HUMAN	hesperetin	6.29	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL399121	[H][C@]1(CC(=O)C2=C(O)C=C(O)C=C2O1)C1=CC(O)=C(OC)C=C1	CHEMBL399121
P18054	LOX12_HUMAN	masoprocol	6.96	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL52	C[C@@H](CC1=CC(O)=C(O)C=C1)[C@H](C)CC1=CC(O)=C(O)C=C1	CHEMBL52
P16050	LOX15_HUMAN	masoprocol	6.96	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL52	C[C@@H](CC1=CC(O)=C(O)C=C1)[C@H](C)CC1=CC(O)=C(O)C=C1	CHEMBL52
Q15722	LT4R1_HUMAN	masoprocol	7.07	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL52	C[C@@H](CC1=CC(O)=C(O)C=C1)[C@H](C)CC1=CC(O)=C(O)C=C1	CHEMBL52
P04278	SHBG_HUMAN	methyltestosterone	8.43	Kd		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1395	[H][C@@]12CC[C@](C)(O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C	CHEMBL1395
Q6V1X1	DPP8_HUMAN	vildagliptin	6.09	Ki		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL142703	OC12CC3CC(C1)CC(C3)(C2)NCC(=O)N1CCC[C@H]1C#N	CHEMBL142703
Q86TI2	DPP9_HUMAN	vildagliptin	7.17	Ki		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL142703	OC12CC3CC(C1)CC(C3)(C2)NCC(=O)N1CCC[C@H]1C#N	CHEMBL142703
P04278	SHBG_HUMAN	mesterolone	9.6	Kd		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL258918	[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])CC(=O)C[C@H](C)[C@]12C	CHEMBL258918
P04278	SHBG_HUMAN	mestanolone	8.81	Kd		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL261514	[H][C@@]12CC[C@](C)(O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])CC(=O)CC[C@]12C	CHEMBL261514
Q9Y2Q3	GSTK1_HUMAN	glutathione	7.7	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1543	N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O	CHEMBL1543
Q15125	EBP_HUMAN	buflomedil	7.22	Ki		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL188921	COC1=CC(OC)=C(C(=O)CCCN2CCCC2)C(OC)=C1	CHEMBL188921
P28838	AMPL_HUMAN	ubenimex	9.22	Ki		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL29292	CC(C)C[C@H](NC(=O)[C@@H](O)[C@H](N)CC1=CC=CC=C1)C(O)=O	CHEMBL29292
P09960	LKHA4_HUMAN	ubenimex	6.3	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL29292	CC(C)C[C@H](NC(=O)[C@@H](O)[C@H](N)CC1=CC=CC=C1)C(O)=O	CHEMBL29292
P04278	SHBG_HUMAN	gestrinone	8.11	Kd		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1868702	[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)C=CC1=C3CCC(=O)C=C3CC[C@@]21[H]	CHEMBL1868702
O75311	GLRA3_HUMAN	picrotin	5.22	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL478523	[H][C@@]12C[C@@]3(O)[C@@H]4[C@@H]([C@@H](OC4=O)[C@H]4OC(=O)[C@]1(O2)[C@@]34C)C(C)(C)O	CHEMBL478523
Q16850	CP51A_HUMAN	bifonazole	6.47	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL277535	C1=CN(C=N1)C(C1=CC=CC=C1)C1=CC=C(C=C1)C1=CC=CC=C1	CHEMBL277535
P04278	SHBG_HUMAN	desogestrel	6.6	Kd		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1533	[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC(=C)[C@]1([H])[C@@]3([H])CCCC=C3CC[C@@]21[H]	CHEMBL1533
O95264	5HT3B_HUMAN	granisetron	8.8	Ki		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL289469	[H][C@]1(C[C@]2([H])CCC[C@]([H])(C1)N2C)NC(=O)C1=NN(C)C2=C1C=CC=C2	CHEMBL289469
P04278	SHBG_HUMAN	levonorgestrel	8.91	Kd		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1389	[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H]	CHEMBL1389
P04278	SHBG_HUMAN	ethisterone	8.78	Kd		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL241694	[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C	CHEMBL241694
P21917	DRD4_HUMAN	amoxapine	7.47	Ki	ANTAGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1113	ClC1=CC=C2OC3=C(C=CC=C3)N=C(N3CCNCC3)C2=C1	CHEMBL1113
P34972	CNR2_HUMAN	dronabinol	8.48	Ki		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL465	[H][C@@]12C=C(C)CC[C@@]1([H])C(C)(C)OC1=CC(CCCCC)=CC(O)=C21	CHEMBL465
P34972	CNR2_HUMAN	dronabinol	7.39	Ki		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL465	[H][C@@]12C=C(C)CC[C@@]1([H])C(C)(C)OC1=CC(CCCCC)=CC(O)=C21	CHEMBL465
P04278	SHBG_HUMAN	progesterone	6.94	Kd		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL103	[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C	CHEMBL103
Q6V1X1	DPP8_HUMAN	saxagliptin	6.89	Ki		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL385517	[H][C@@](N)(C(=O)N1[C@@]2([H])C[C@@]2([H])C[C@@]1([H])C#N)C12CC3CC(CC(O)(C3)C1)C2	CHEMBL385517
Q86TI2	DPP9_HUMAN	saxagliptin	7.15	Ki		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL385517	[H][C@@](N)(C(=O)N1[C@@]2([H])C[C@@]2([H])C[C@@]1([H])C#N)C12CC3CC(CC(O)(C3)C1)C2	CHEMBL385517
P21917	DRD4_HUMAN	rotigotine	7.26	Ki	AGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1303	CCCN(CCC1=CC=CS1)[C@H]1CCC2=C(O)C=CC=C2C1	CHEMBL1303
P34913	HYES_HUMAN	triclocarban	7.89	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1076347	ClC1=CC=C(NC(=O)NC2=CC(Cl)=C(Cl)C=C2)C=C1	CHEMBL1076347
P50406	5HT6R_HUMAN	chlorprothixene	8.52	Ki		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL908	CN(C)CC\C=C1\C2=CC=CC=C2SC2=C1C=C(Cl)C=C2	CHEMBL908
P21918	DRD5_HUMAN	chlorprothixene	8.05	Ki		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL908	CN(C)CC\C=C1\C2=CC=CC=C2SC2=C1C=C(Cl)C=C2	CHEMBL908
P04278	SHBG_HUMAN	pregnenolone succinate	7.15	Kd		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL253363	[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@H](CC[C@]12C)OC(=O)CCC(O)=O	CHEMBL253363
P08183	MDR1_HUMAN	chlorpromazine	6.22	Ki		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL71	CN(C)CCCN1C2=CC=CC=C2SC2=C1C=C(Cl)C=C2	CHEMBL71
O60218	AK1BA_HUMAN	epalrestat	6.48	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL56337	C\C(\C=C1/SC(=S)N(CC(O)=O)C1=O)=C/C1=CC=CC=C1	CHEMBL56337
O15244	S22A2_HUMAN	gabexate	6.05	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL87563	CCOC(=O)C1=CC=C(OC(=O)CCCCCNC(N)=N)C=C1	CHEMBL87563
Q96FL8	S47A1_HUMAN	gabexate	6.3	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL87563	CCOC(=O)C1=CC=C(OC(=O)CCCCCNC(N)=N)C=C1	CHEMBL87563
P47898	5HT5A_HUMAN	lysergide	8.05	Ki		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL263881	[H][C@@]12CC3=CNC4=CC=CC(=C34)C1=C[C@H](CN2C)C(=O)N(CC)CC	CHEMBL263881
P21917	DRD4_HUMAN	lysergide	7.25	Ki		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL263881	[H][C@@]12CC3=CNC4=CC=CC(=C34)C1=C[C@H](CN2C)C(=O)N(CC)CC	CHEMBL263881
P28566	5HT1E_HUMAN	lysergide	7.03	Ki		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL263881	[H][C@@]12CC3=CNC4=CC=CC(=C34)C1=C[C@H](CN2C)C(=O)N(CC)CC	CHEMBL263881
P54219	VMAT1_HUMAN	reserpine	7.45	Ki	INHIBITOR	IUPHAR	http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=4823	[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2	CHEMBL772
P04278	SHBG_HUMAN	etonogestrel	8.23	Kd		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1531	[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC(=C)[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H]	CHEMBL1531
P40763	STAT3_HUMAN	niclosamide	6.6	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1448	OC1=C(C=C(Cl)C=C1)C(=O)NC1=C(Cl)C=C(C=C1)[N+]([O-])=O	CHEMBL1448
P0DMS8	AA3R_HUMAN	naloxone	8.8	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL80	[H][C@@]12OC3=C4C(C[C@@]5([H])N(CC=C)CC[C@@]14[C@@]5(O)CCC2=O)=CC=C3O	CHEMBL80
P50406	5HT6R_HUMAN	loxapine	7.82	Ki		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL831	CN1CCN(CC1)C1=NC2=C(OC3=CC=C(Cl)C=C13)C=CC=C2	CHEMBL831
P21917	DRD4_HUMAN	loxapine	8.31	Ki	ANTAGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL831	CN1CCN(CC1)C1=NC2=C(OC3=CC=C(Cl)C=C13)C=CC=C2	CHEMBL831
Q99571	P2RX4_HUMAN	paroxetine	5.33	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL490	[H][C@@]1(COC2=CC3=C(OCO3)C=C2)CNCC[C@@]1([H])C1=CC=C(F)C=C1	CHEMBL490
P04278	SHBG_HUMAN	desoxycortone	7.38	Kd		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1498	[H][C@@]12CC[C@H](C(=O)CO)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C	CHEMBL1498
Q02880	TOP2B_HUMAN	ciprofloxacin	7.52	EC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL8	OC(=O)C1=CN(C2CC2)C2=CC(N3CCNCC3)=C(F)C=C2C1=O	CHEMBL8
P21917	DRD4_HUMAN	zotepine	7.41	Ki		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL285802	CN(C)CCOC1=CC2=C(SC3=CC=C(Cl)C=C13)C=CC=C2	CHEMBL285802
P42785	PCP_HUMAN	pentoxyverine	7.49	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL73234	CCN(CC)CCOCCOC(=O)C1(CCCC1)C1=CC=CC=C1	CHEMBL73234
Q9HC97	GPR35_HUMAN	dicoumarol	7.41	Ki		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1466	OC1=C(CC2=C(O)C3=C(OC2=O)C=CC=C3)C(=O)OC2=CC=CC=C12	CHEMBL1466
Q96FL8	S47A1_HUMAN	famotidine	6.12	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL902	NC(=N)NC1=NC(CSCCC(=N)NS(N)(=O)=O)=CS1	CHEMBL902
P04278	SHBG_HUMAN	danazol	8.2	Kd		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1479	[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC3=C(C[C@]12C)C=NO3	CHEMBL1479
P19801	AOC1_HUMAN	pentamidine	6.54	Ki		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL55	NC(=N)C1=CC=C(OCCCCCOC2=CC=C(C=C2)C(N)=N)C=C1	CHEMBL55
P04271	S100B_HUMAN	pentamidine	6.0	Kd		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL55	NC(=N)C1=CC=C(OCCCCCOC2=CC=C(C=C2)C(N)=N)C=C1	CHEMBL55
Q96FL8	S47A1_HUMAN	pentamidine	6.39	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL55	NC(=N)C1=CC=C(OCCCCCOC2=CC=C(C=C2)C(N)=N)C=C1	CHEMBL55
P42330	AK1C3_HUMAN	medroxyprogesterone	6.52	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL717	[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C	CHEMBL717
P04278	SHBG_HUMAN	medroxyprogesterone	6.2	Kd		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL717	[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C	CHEMBL717
O15554	KCNN4_HUMAN	clotrimazole	7.15	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL104	ClC1=C(C=CC=C1)C(N1C=CN=C1)(C1=CC=CC=C1)C1=CC=CC=C1	CHEMBL104
Q16850	CP51A_HUMAN	clotrimazole	6.89	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL104	ClC1=C(C=CC=C1)C(N1C=CN=C1)(C1=CC=CC=C1)C1=CC=CC=C1	CHEMBL104
P09467	F16P1_HUMAN	adenosine phosphate	6.85	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL752	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O	CHEMBL752
P09871	C1S_HUMAN	nafamostat	6.85	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL273264	NC(=N)NC1=CC=C(C=C1)C(=O)OC1=CC=C2C=C(C=CC2=C1)C(N)=N	CHEMBL273264
P06870	KLK1_HUMAN	nafamostat	6.19	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL273264	NC(=N)NC1=CC=C(C=C1)C(=O)OC1=CC=C2C=C(C=CC2=C1)C(N)=N	CHEMBL273264
P0DMS8	AA3R_HUMAN	pirenzepine	7.66	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL9967	CN1CCN(CC(=O)N2C3=CC=CC=C3C(=O)NC3=C2N=CC=C3)CC1	CHEMBL9967
P0DMS8	AA3R_HUMAN	yohimbine	7.02	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL15245	[H][C@@]12CC[C@H](O)[C@H](C(=O)OC)[C@@]1([H])C[C@]1([H])N(CCC3=C1NC1=C3C=CC=C1)C2	CHEMBL15245
Q9Y5Y6	ST14_HUMAN	hexamidine	6.03	Ki		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL25105	NC(=N)C1=CC=C(OCCCCCCOC2=CC=C(C=C2)C(N)=N)C=C1	CHEMBL25105
P50135	HNMT_HUMAN	amodiaquine	7.72	Ki		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL682	CCN(CC)CC1=C(O)C=CC(NC2=CC=NC3=CC(Cl)=CC=C23)=C1	CHEMBL682
P14550	AK1A1_HUMAN	tolrestat	6.14	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL436	COC1=CC=C2C(=CC=CC2=C1C(F)(F)F)C(=S)N(C)CC(O)=O	CHEMBL436
O60218	AK1BA_HUMAN	tolrestat	7.3	Ki		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL436	COC1=CC=C2C(=CC=CC2=C1C(F)(F)F)C(=S)N(C)CC(O)=O	CHEMBL436
P42330	AK1C3_HUMAN	indomethacin	7.0	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL6	COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(O)=O	CHEMBL6
P10145	IL8_HUMAN	indomethacin	7.3	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL6	COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(O)=O	CHEMBL6
P15104	GLNA_HUMAN	prednisolone	7.49	EC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL131	[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C	CHEMBL131
P04278	SHBG_HUMAN	cortisone acetate	6.43	Kd		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL111861	[H][C@@]12CC[C@](O)(C(=O)COC(C)=O)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C	CHEMBL111861
Q14376	GALE_HUMAN	haloprogin	6.3	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1289	ClC1=CC(Cl)=C(OCC#CI)C=C1Cl	CHEMBL1289
P04278	SHBG_HUMAN	hydrocortisone	6.2	Kd		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL389621	[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@]([H])(O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C	CHEMBL389621
Q15125	EBP_HUMAN	opipramol	7.89	Ki		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL370753	OCCN1CCN(CCCN2C3=CC=CC=C3C=CC3=C2C=CC=C3)CC1	CHEMBL370753
P10636	TAU_HUMAN	lansoprazole	8.6	Ki		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL480	CC1=C(CS(=O)C2=NC3=C(N2)C=CC=C3)N=CC=C1OCC(F)(F)F	CHEMBL480
Q9BY08	EBPL_HUMAN	tamoxifen	8.55	Ki		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL83	CC\C(=C(/C1=CC=CC=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1	CHEMBL83
P34972	CNR2_HUMAN	nabilone	8.2	Ki		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL947	[H]C12CC(=O)CCC1([H])C(C)(C)OC1=CC(=CC(O)=C21)C(C)(C)CCCCCC	CHEMBL947
P21917	DRD4_HUMAN	clebopride	8.49	Ki		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL325109	COC1=C(C=C(Cl)C(N)=C1)C(=O)NC1CCN(CC2=CC=CC=C2)CC1	CHEMBL325109
Q16850	CP51A_HUMAN	econazole	7.3	IC50		CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL808	ClC1=CC=C(COC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1	CHEMBL808
